president,party,election_year,state,state_po,vote_pct
Gerald Ford,Republican,1976,Indiana,IN,53.3
Gerald Ford,Republican,1976,Iowa,IA,49.5
Gerald Ford,Republican,1976,Kansas,KS,52.5
Gerald Ford,Republican,1976,Kentucky,KY,45.6
Gerald Ford,Republican,1976,Louisiana,LA,46
Gerald Ford,Republican,1976,Maine,ME,48.9
Gerald Ford,Republican,1976,Maryland,MD,47
Gerald Ford,Republican,1976,Massachusetts,MA,40.4
Gerald Ford,Republican,1976,Michigan,MI,51.9
Gerald Ford,Republican,1976,Minnesota,MN,42
Gerald Ford,Republican,1976,Mississippi,MS,47.7
Gerald Ford,Republican,1976,Missouri,MO,47.5
Gerald Ford,Republican,1976,Montana,MT,52.8
Gerald Ford,Republican,1976,Nebraska,NE,59.2
Gerald Ford,Republican,1976,Nevada,NV,50.2
Gerald Ford,Republican,1976,New Hampshire,NH,54.7
Gerald Ford,Republican,1976,New Jersey,NJ,50.1
Gerald Ford,Republican,1976,New Mexico,NM,50.7
Gerald Ford,Republican,1976,New York,NY,46.5
Gerald Ford,Republican,1976,North Carolina,NC,44.2
Gerald Ford,Republican,1976,North Dakota,ND,51.7
Gerald Ford,Republican,1976,Ohio,OH,48.7
Gerald Ford,Republican,1976,Oklahoma,OK,50
Gerald Ford,Republican,1976,Oregon,OR,47.8
Gerald Ford,Republican,1976,Pennsylvania,PA,47.7
Gerald Ford,Republican,1976,Rhode Island,RI,44.1
Gerald Ford,Republican,1976,South Carolina,SC,43.1
Gerald Ford,Republican,1976,South Dakota,SD,50.4
Gerald Ford,Republican,1976,Tennessee,TN,42.9
Gerald Ford,Republican,1976,Texas,TX,48
Gerald Ford,Republican,1976,Utah,UT,62.4
Gerald Ford,Republican,1976,Vermont,VT,54.6
Gerald Ford,Republican,1976,Virginia,VA,49.3
Gerald Ford,Republican,1976,Washington,WA,50
Gerald Ford,Republican,1976,West Virginia,WV,41.9
Gerald Ford,Republican,1976,Wisconsin,WI,47.8
Gerald Ford,Republican,1976,Wyoming,WY,59.3
Jimmy Carter,Democrat,1976,Alabama,AL,55.7
Jimmy Carter,Democrat,1976,Alaska,AK,35.7
Jimmy Carter,Democrat,1976,Arizona,AZ,39.8
Jimmy Carter,Democrat,1976,Arkansas,AR,65
Jimmy Carter,Democrat,1976,California,CA,48
Jimmy Carter,Democrat,1976,Colorado,CO,42.6
Jimmy Carter,Democrat,1976,Connecticut,CT,46.7
Jimmy Carter,Democrat,1976,Delaware,DE,52
Jimmy Carter,Democrat,1976,District of Columbia,DC,81.6
Jimmy Carter,Democrat,1976,Florida,FL,51.9
Jimmy Carter,Democrat,1976,Georgia,GA,66.9
Jimmy Carter,Democrat,1976,Hawaii,HI,50.6
Jimmy Carter,Democrat,1976,Idaho,ID,37.1
Jimmy Carter,Democrat,1976,Illinois,IL,48.1
Jimmy Carter,Democrat,1976,Indiana,IN,45.7
Jimmy Carter,Democrat,1976,Iowa,IA,48.5
Jimmy Carter,Democrat,1976,Kansas,KS,44.9
Jimmy Carter,Democrat,1976,Kentucky,KY,52.8
Jimmy Carter,Democrat,1976,Louisiana,LA,51.8
Jimmy Carter,Democrat,1976,Maine,ME,48.1
Jimmy Carter,Democrat,1976,Maryland,MD,53
Jimmy Carter,Democrat,1976,Massachusetts,MA,56.1
Jimmy Carter,Democrat,1976,Michigan,MI,46.5
Jimmy Carter,Democrat,1976,Minnesota,MN,54.9
Jimmy Carter,Democrat,1976,Mississippi,MS,49.6
Jimmy Carter,Democrat,1976,Missouri,MO,51.1
Jimmy Carter,Democrat,1976,Montana,MT,45.4
Jimmy Carter,Democrat,1976,Nebraska,NE,38.4
Jimmy Carter,Democrat,1976,Nevada,NV,45.8
Jimmy Carter,Democrat,1976,New Hampshire,NH,43.5
Jimmy Carter,Democrat,1976,New Jersey,NJ,47.9
Jimmy Carter,Democrat,1976,New Mexico,NM,48.3
Jimmy Carter,Democrat,1976,New York,NY,50.8
Jimmy Carter,Democrat,1976,North Carolina,NC,55.3
Jimmy Carter,Democrat,1976,North Dakota,ND,45.8
Jimmy Carter,Democrat,1976,Ohio,OH,48.9
Jimmy Carter,Democrat,1976,Oklahoma,OK,48.7
