president,party,year_month,approval
George H.W. Bush,Republican,1989-08-01,64.3
George H.W. Bush,Republican,1989-09-01,69
George H.W. Bush,Republican,1989-10-01,64.5
George H.W. Bush,Republican,1989-11-01,66
George H.W. Bush,Republican,1989-12-01,71
George H.W. Bush,Republican,1990-01-01,72.5
George H.W. Bush,Republican,1990-02-01,73
George H.W. Bush,Republican,1990-03-01,71
George H.W. Bush,Republican,1990-04-01,69
George H.W. Bush,Republican,1990-05-01,66
George H.W. Bush,Republican,1990-06-01,69
George H.W. Bush,Republican,1990-07-01,61.5
George H.W. Bush,Republican,1990-08-01,71.4
George H.W. Bush,Republican,1990-09-01,68.8
George H.W. Bush,Republican,1990-10-01,58.2
George H.W. Bush,Republican,1990-11-01,55
George H.W. Bush,Republican,1990-12-01,60.6
George H.W. Bush,Republican,1991-01-01,74.6
George H.W. Bush,Republican,1991-02-01,78.2
George H.W. Bush,Republican,1991-03-01,84.2
George H.W. Bush,Republican,1991-04-01,77
George H.W. Bush,Republican,1991-05-01,75.3
George H.W. Bush,Republican,1991-06-01,71.2
George H.W. Bush,Republican,1991-07-01,69.2
George H.W. Bush,Republican,1991-08-01,69.8
George H.W. Bush,Republican,1991-09-01,65.2
George H.W. Bush,Republican,1991-10-01,64
George H.W. Bush,Republican,1991-11-01,51
George H.W. Bush,Republican,1992-01-01,44.7
George H.W. Bush,Republican,1992-02-01,41.2
George H.W. Bush,Republican,1992-03-01,40.6
George H.W. Bush,Republican,1992-04-01,40.5
George H.W. Bush,Republican,1992-05-01,40.3
George H.W. Bush,Republican,1992-06-01,36
George H.W. Bush,Republican,1992-07-01,33.3
George H.W. Bush,Republican,1992-08-01,35
George H.W. Bush,Republican,1992-09-01,37.2
George H.W. Bush,Republican,1992-10-01,33.2
George H.W. Bush,Republican,1992-11-01,42
George H.W. Bush,Republican,1992-12-01,48.5
Bill Clinton,Democrat,1993-01-01,55.5
George H.W. Bush,Republican,1993-01-01,56
